"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"1"	1	"IPI:IPI00643525.1"	"C4A"	"Complement component 4A"
"2"	1	"IPI:IPI00418163.3"	"C4B"	"C4B1"
"3"	2	"IPI:IPI00478003.1"	"A2M"	"Alpha-2-macroglobulin precursor"
"4"	3	"IPI:IPI00414283.5"	"FN1"	"fibronectin 1 isoform 4 preproprotein"
"5"	3	"IPI:IPI00845263.1"	"FN1"	"fibronectin 1 isoform 2 preproprotein"
"6"	3	"IPI:IPI00339223.1"	"FN1"	"Isoform 3 of Fibronectin precursor"
"7"	3	"IPI:IPI00022418.1"	"FN1"	"Isoform 1 of Fibronectin precursor"
"8"	3	"IPI:IPI00855777.1"	"FN1"	"Isoform 14 of Fibronectin precursor"
"9"	3	"IPI:IPI00339228.1"	"FN1"	"Isoform 8 of Fibronectin precursor"
"10"	4	"IPI:IPI00021885.1"	"FGA"	"Isoform 1 of Fibrinogen alpha chain precursor"
"11"	4	"IPI:IPI00029717.1"	"FGA"	"Isoform 2 of Fibrinogen alpha chain precursor"
"12"	5	"IPI:IPI00017601.1"	"CP"	"Ceruloplasmin precursor"
"13"	6	"IPI:IPI00029739.5"	"CFH"	"Isoform 1 of Complement factor H precursor"
"14"	7	"IPI:IPI00298497.3"	"FGB"	"Fibrinogen beta chain precursor"
"15"	8	"IPI:IPI00032291.2"	"C5"	"Complement C5 precursor"
"16"	9	"IPI:IPI00022488.1"	"HPX"	"Hemopexin precursor"
"17"	10	"IPI:IPI00294193.4"	"ITIH4"	"Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 precursor"
"18"	11	"IPI:IPI00019580.1"	"PLG"	"Plasminogen precursor"
"19"	12	"IPI:IPI00215894.1"	"KNG1"	"Isoform LMW of Kininogen-1 precursor"
"20"	12	"IPI:IPI00797833.3"	"KNG1"	"Kininogen 1"
"21"	13	"IPI:IPI00798430.1"	"TF"	"Transferrin variant (Fragment)"
"22"	13	"IPI:IPI00022463.1"	"TF"	"Serotransferrin precursor"
"23"	14	"IPI:IPI00019591.1"	"CFB"	"Isoform 1 of Complement factor B precursor (Fragment)"
