N	Accession	Gene_Symbol	Protein_Name	Unused
1	IPI00643525.1	C4A	Complement component 4A	164.05
2	IPI00478003.1	A2M	Alpha-2-macroglobulin precursor	128.09
3	IPI00017601.1	CP	Ceruloplasmin precursor	114.94
4	IPI00029739.5	CFH	Isoform 1 of Complement factor H precursor	109.80
5	IPI00021885.1	FGA	Isoform 1 of Fibrinogen alpha chain precursor	104.16
5	IPI00029717.1	FGA	Isoform 2 of Fibrinogen alpha chain precursor	0.00
6	IPI00414283.5	FN1	fibronectin 1 isoform 4 preproprotein	98.05
6	IPI00845263.1	FN1	fibronectin 1 isoform 2 preproprotein	0.00
6	IPI00855777.1	FN1	Isoform 14 of Fibronectin precursor	0.00
6	IPI00339228.1	FN1	Isoform 8 of Fibronectin precursor	0.00
6	IPI00339223.1	FN1	Isoform 3 of Fibronectin precursor	0.00
6	IPI00022418.1	FN1	Isoform 1 of Fibronectin precursor	0.00
7	IPI00298497.3	FGB	Fibrinogen beta chain precursor	97.17
8	IPI00032291.2	C5	Complement C5 precursor	86.36
9	IPI00294193.4	ITIH4	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 precursor	75.57
10	IPI00019580.1	PLG	Plasminogen precursor	73.59
11	IPI00639937.1	CFB	B-factor, properdin	67.11
11	IPI00019591.1	CFB	Isoform 1 of Complement factor B precursor (Fragment)	0.00
12	IPI00797833.3	KNG1	Kininogen 1	64.89
12	IPI00215894.1	KNG1	Isoform LMW of Kininogen-1 precursor	0.00
13	IPI00022488.1	HPX	Hemopexin precursor	63.45
14	IPI00877703.1	FGG	52 kDa protein	61.50
14	IPI00021891.5	FGG	Isoform Gamma-B of Fibrinogen gamma chain precursor	0.00
14	IPI00877792.1	FGG	50 kDa protein	0.00
14	IPI00219713.1	FGG	Isoform Gamma-A of Fibrinogen gamma chain precursor	0.00
15	IPI00550991.3	SERPINA3	Alpha-1-antichymotrypsin precursor	60.29
15	IPI00847635.1	SERPINA3	Isoform 1 of Alpha-1-antichymotrypsin precursor	0.00
16	IPI00019568.1	F2	Prothrombin precursor (Fragment)	59.13
17	IPI00304273.2	APOA4	Apolipoprotein A-IV precursor	59.00
18	IPI00742696.2	GC	vitamin D-binding protein precursor	58.53
19	IPI00032179.2	SERPINC1	Antithrombin III variant	52.36
20	IPI00645038.1	ITIH2	Inter-alpha (Globulin) inhibitor H2	49.62
20	IPI00305461.2	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2 precursor	0.00
21	IPI00798430.1	TF	Transferrin variant (Fragment)	48.28
21	IPI00022463.1	TF	Serotransferrin precursor	0.00
22	IPI00009920.2	C6	Complement component 6 precursor	47.77
23	IPI00292530.1	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1 precursor	46.89
24	IPI00472610.2	IGHM	IGHM protein	39.88
25	IPI00022395.1	C9	Complement component C9 precursor	39.34
26	IPI00296165.5	C1R;C17orf13;ACYP1	Complement C1r subcomponent precursor	39.10
27	IPI00292950.4	SERPIND1	Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1	38.07
27	IPI00879573.1	SERPIND1	Heparin cofactor 2 precursor	0.00
28	IPI00022895.7	A1BG	Alpha-1B-glycoprotein precursor	36.53
28	IPI00745089.2	A1BG	alpha 1B-glycoprotein precursor	0.00
29	IPI00026314.1	GSN	Isoform 1 of Gelsolin precursor	36.49
30	IPI00291866.5	SERPING1	Plasma protease C1 inhibitor precursor	35.94
30	IPI00879931.1	SERPING1	cDNA FLJ78023, highly similar to Homo sapiens serine (or cysteine) proteinase inhibitor, clade G (C1inhibitor), member 1, (angioedema, hereditary) (SERPING1), mRNA	0.06
31	IPI00641737.1	HP	Haptoglobin precursor	35.61
32	IPI00017696.1	C1S	Complement C1s subcomponent precursor	35.57
33	IPI00019943.1	AFM	Afamin precursor	33.08
34	IPI00291867.3	CFI	Complement factor I precursor	31.98
34	IPI00872555.2	CFI	cDNA FLJ76262, highly similar to Homo sapiens I factor (complement) (IF), mRNA	0.00
35	IPI00298828.3	APOH	Beta-2-glycoprotein 1 precursor	31.45
36	IPI00828205.1	IGHM	IGHM protein	31.30
37	IPI00294395.1	C8B	Complement component C8 beta chain precursor	30.52
38	IPI00654888.4	KLKB1	Plasma kallikrein precursor	29.89
39	IPI00303963.1	C2	Complement C2 precursor (Fragment)	29.64
40	IPI00296608.6	C7	Complement component C7 precursor	29.54
41	IPI00879231.1	SERPINF2	Alpha-2-antiplasmin precursor	29.04
41	IPI00029863.4	SERPINF2	SERPINF2 protein	0.00
42	IPI00022429.3	ORM1	Alpha-1-acid glycoprotein 1 precursor	27.70
43	IPI00298971.1	VTN	Vitronectin precursor	27.12
44	IPI00022371.1	HRG	Histidine-rich glycoprotein precursor	26.61
45	IPI00400826.1	CLU	clusterin isoform 1	26.56
45	IPI00795633.1	CLU	CLU	0.00
45	IPI00291262.3	CLU	Clusterin precursor	0.00
46	IPI00011252.1	C8A	Complement component C8 alpha chain precursor	26.31
47	IPI00019581.1	F12	Coagulation factor XII precursor	25.96
48	IPI00876950.1	ITIH3	Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	25.92
48	IPI00028413.8	ITIH3	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	0.00
49	IPI00006114.4	SERPINF1	Pigment epithelium-derived factor precursor	24.24
50	IPI00020996.3	IGFALS	Insulin-like growth factor-binding protein complex acid labile chain precursor	24.18
51	IPI00553177.1	SERPINA1	Isoform 1 of Alpha-1-antitrypsin precursor	23.47
52	IPI00032220.3	AGT	Angiotensinogen precursor	22.96
53	IPI00844536.2	RBP4	Uncharacterized protein RBP4	22.04
53	IPI00480192.1	RBP4	Retinol binding protein 4, plasma	0.00
53	IPI00022420.3	RBP4	Plasma retinol-binding protein precursor	0.00
54	IPI00022431.1	AHSG	Alpha-2-HS-glycoprotein precursor	21.11
55	IPI00022426.1	AMBP	AMBP protein precursor	19.48
56	IPI00022417.4	LRG1	Leucine-rich alpha-2-glycoprotein precursor	19.45
57	IPI00009865.2	KRT10	Keratin, type I cytoskeletal 10	19.36
58	IPI00022434.4	ALB	Uncharacterized protein ALB	18.44
58	IPI00745872.2	ALB	Isoform 1 of Serum albumin precursor	0.00
59	IPI00021727.1	C4BPA	C4b-binding protein alpha chain precursor	18.05
60	IPI00011261.2	C8G	Complement component C8 gamma chain precursor	17.70
61	IPI00292946.1	SERPINA7	Thyroxine-binding globulin precursor	17.24
62	IPI00020986.2	LUM	Lumican precursor	16.36
63	IPI00220327.3	KRT1	Keratin, type II cytoskeletal 1	16.18
64	IPI00386879.1	IGHV3OR16-13;IGHA1	CDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA	16.13
65	IPI00022391.1	APCS	Serum amyloid P-component precursor	15.71
66	IPI00829626.1	IGL@	IGL@ protein	15.67
66	IPI00550162.2	IGLV3-25	IGLV3-25 protein	0.01
67	IPI00792115.1	CLEC3B	Putative uncharacterized protein DKFZp686H17246	15.00
68	IPI00328609.3	SERPINA4	Kallistatin precursor	14.93
69	IPI00784894.1	-	Putative uncharacterized protein	14.88
70	IPI00163207.1	PGLYRP2	Isoform 1 of N-acetylmuramoyl-L-alanine amidase precursor	14.56
70	IPI00394992.1	PGLYRP2	Isoform 2 of N-acetylmuramoyl-L-alanine amidase precursor	0.00
71	IPI00027235.1	ATRN	Isoform 1 of Attractin precursor	13.84
71	IPI00218460.6	ATRN	Isoform 3 of Attractin precursor	0.00
71	IPI00162735.3	ATRN	Isoform 2 of Attractin precursor	0.00
72	IPI00025426.2	PZP	Pregnancy zone protein precursor	13.69
73	IPI00873445.1	PROS1	80 kDa protein	13.59
73	IPI00294004.1	PROS1	Vitamin K-dependent protein S precursor	0.00
74	IPI00022389.1	CRP	Isoform 1 of C-reactive protein precursor	13.12
75	IPI00784661.1	-	Putative uncharacterized protein	13.06
75	IPI00472961.2	IGKC	IGKC protein	0.00
75	IPI00807459.1	IGKC	IGKC protein	0.00
76	IPI00218732.3	PON1	Serum paraoxonase/arylesterase 1	11.96
77	IPI00032311.4	LBP	Lipopolysaccharide-binding protein precursor	11.79
78	IPI00784998.1	-	Putative uncharacterized protein DKFZp686M24218	10.57
79	IPI00023019.1	SHBG	Isoform 1 of Sex hormone-binding globulin precursor	10.45
79	IPI00219583.1	SHBG	Isoform 2 of Sex hormone-binding globulin precursor	0.00
80	IPI00167093.4	CFHR1	complement factor H-related 1	10.23
80	IPI00011264.1	CFHR1	Complement factor H-related protein 1 precursor	0.00
