"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"1"	1	"IPI:IPI00418163.3"	"C4B"	"C4B1"
"2"	2	"IPI:IPI00414283.5"	"FN1"	"fibronectin 1 isoform 4 preproprotein"
"3"	2	"IPI:IPI00339223.1"	"FN1"	"Isoform 3 of Fibronectin precursor"
"4"	2	"IPI:IPI00022418.1"	"FN1"	"Isoform 1 of Fibronectin precursor"
"5"	2	"IPI:IPI00855777.1"	"FN1"	"Isoform 14 of Fibronectin precursor"
"6"	2	"IPI:IPI00339228.1"	"FN1"	"Isoform 8 of Fibronectin precursor"
"7"	3	"IPI:IPI00021885.1"	"FGA"	"Isoform 1 of Fibrinogen alpha chain precursor"
"8"	3	"IPI:IPI00029717.1"	"FGA"	"Isoform 2 of Fibrinogen alpha chain precursor"
"9"	4	"IPI:IPI00478003.1"	"A2M"	"Alpha-2-macroglobulin precursor"
"10"	5	"IPI:IPI00298497.3"	"FGB"	"Fibrinogen beta chain precursor"
"11"	6	"IPI:IPI00017601.1"	"CP"	"Ceruloplasmin precursor"
"12"	7	"IPI:IPI00032291.2"	"C5"	"Complement C5 precursor"
"13"	8	"IPI:IPI00029739.5"	"CFH"	"Isoform 1 of Complement factor H precursor"
"14"	9	"IPI:IPI00294193.4"	"ITIH4"	"Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 precursor"
"15"	10	"IPI:IPI00877703.1"	"FGG"	"52 kDa protein"
"16"	10	"IPI:IPI00021891.5"	"FGG"	"Isoform Gamma-B of Fibrinogen gamma chain precursor"
"17"	10	"IPI:IPI00877792.1"	"FGG"	"50 kDa protein"
"18"	10	"IPI:IPI00219713.1"	"FGG"	"Isoform Gamma-A of Fibrinogen gamma chain precursor"
"19"	11	"IPI:IPI00022488.1"	"HPX"	"Hemopexin precursor"
"20"	12	"IPI:IPI00304273.2"	"APOA4"	"Apolipoprotein A-IV precursor"
"21"	13	"IPI:IPI00019580.1"	"PLG"	"Plasminogen precursor"
"22"	14	"IPI:IPI00847635.1"	"SERPINA3"	"Isoform 1 of Alpha-1-antichymotrypsin precursor"
"23"	14	"IPI:IPI00550991.3"	"SERPINA3"	"Alpha-1-antichymotrypsin precursor"
"24"	15	"IPI:IPI00639937.1"	"CFB"	"B-factor, properdin"
"25"	15	"IPI:IPI00019591.1"	"CFB"	"Isoform 1 of Complement factor B precursor (Fragment)"
"26"	16	"IPI:IPI00641737.1"	"HP"	"Haptoglobin precursor"
"27"	17	"IPI:IPI00645038.1"	"ITIH2"	"Inter-alpha (Globulin) inhibitor H2"
"28"	17	"IPI:IPI00305461.2"	"ITIH2"	"Inter-alpha-trypsin inhibitor heavy chain H2 precursor"
"29"	18	"IPI:IPI00215894.1"	"KNG1"	"Isoform LMW of Kininogen-1 precursor"
"30"	18	"IPI:IPI00797833.3"	"KNG1"	"Kininogen 1"
"31"	19	"IPI:IPI00026314.1"	"GSN"	"Isoform 1 of Gelsolin precursor"
"32"	20	"IPI:IPI00292530.1"	"ITIH1"	"Inter-alpha-trypsin inhibitor heavy chain H1 precursor"
"33"	21	"IPI:IPI00555812.4"	"GC"	"Vitamin D-binding protein precursor"
"34"	21	"IPI:IPI00742696.2"	"GC"	"vitamin D-binding protein precursor"
"35"	22	"IPI:IPI00019568.1"	"F2"	"Prothrombin precursor (Fragment)"
"36"	23	"IPI:IPI00828205.1"	"IGHM"	"IGHM protein"
"37"	24	"IPI:IPI00022395.1"	"C9"	"Complement component C9 precursor"
"38"	25	"IPI:IPI00032179.2"	"SERPINC1"	"Antithrombin III variant"
