N	Accession	Gene_Symbol	Protein_Name	Unused
1	IPI00478003.1	A2M	Alpha-2-macroglobulin precursor	143.91
2	IPI00643525.1	C4A	Complement component 4A	141.24
3	IPI00021885.1	FGA	Isoform 1 of Fibrinogen alpha chain precursor	120.40
3	IPI00029717.1	FGA	Isoform 2 of Fibrinogen alpha chain precursor	0.00
4	IPI00017601.1	CP	Ceruloplasmin precursor	105.73
5	IPI00414283.5	FN1	fibronectin 1 isoform 4 preproprotein	104.45
5	IPI00845263.1	FN1	fibronectin 1 isoform 2 preproprotein	0.00
5	IPI00339223.1	FN1	Isoform 3 of Fibronectin precursor	0.00
5	IPI00022418.1	FN1	Isoform 1 of Fibronectin precursor	0.00
5	IPI00855777.1	FN1	Isoform 14 of Fibronectin precursor	0.00
5	IPI00339228.1	FN1	Isoform 8 of Fibronectin precursor	0.00
6	IPI00298497.3	FGB	Fibrinogen beta chain precursor	93.36
7	IPI00029739.5	CFH	Isoform 1 of Complement factor H precursor	85.68
8	IPI00022488.1	HPX	Hemopexin precursor	75.29
9	IPI00032291.2	C5	Complement C5 precursor	74.30
10	IPI00294193.4	ITIH4	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 precursor	69.45
11	IPI00304273.2	APOA4	Apolipoprotein A-IV precursor	66.68
12	IPI00019580.1	PLG	Plasminogen precursor	62.97
13	IPI00639937.1	CFB	B-factor, properdin	61.71
13	IPI00019591.1	CFB	Isoform 1 of Complement factor B precursor (Fragment)	0.00
14	IPI00555812.4	GC	Vitamin D-binding protein precursor	60.54
15	IPI00877792.1	FGG	50 kDa protein	57.40
15	IPI00877703.1	FGG	52 kDa protein	0.00
15	IPI00219713.1	FGG	Isoform Gamma-A of Fibrinogen gamma chain precursor	0.00
15	IPI00021891.5	FGG	Isoform Gamma-B of Fibrinogen gamma chain precursor	0.00
16	IPI00645038.1	ITIH2	Inter-alpha (Globulin) inhibitor H2	57.04
16	IPI00305461.2	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2 precursor	0.00
17	IPI00798430.1	TF	Transferrin variant (Fragment)	55.32
17	IPI00022463.1	TF	Serotransferrin precursor	0.00
18	IPI00797833.3	KNG1	Kininogen 1	54.54
18	IPI00215894.1	KNG1	Isoform LMW of Kininogen-1 precursor	0.00
19	IPI00019568.1	F2	Prothrombin precursor (Fragment)	51.77
20	IPI00292530.1	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1 precursor	48.84
21	IPI00026314.1	GSN	Isoform 1 of Gelsolin precursor	47.82
22	IPI00550991.3	SERPINA3	Alpha-1-antichymotrypsin precursor	47.30
22	IPI00847635.1	SERPINA3	Isoform 1 of Alpha-1-antichymotrypsin precursor	0.00
23	IPI00472610.2	IGHM	IGHM protein	43.76
