"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"1"	1	"IPI:IPI00478003.1"	"A2M"	"Alpha-2-macroglobulin precursor"
"2"	2	"IPI:IPI00643525.1"	"C4A"	"Complement component 4A"
"3"	3	"IPI:IPI00021885.1"	"FGA"	"Isoform 1 of Fibrinogen alpha chain precursor"
"4"	3	"IPI:IPI00029717.1"	"FGA"	"Isoform 2 of Fibrinogen alpha chain precursor"
"5"	4	"IPI:IPI00017601.1"	"CP"	"Ceruloplasmin precursor"
"6"	5	"IPI:IPI00414283.5"	"FN1"	"fibronectin 1 isoform 4 preproprotein"
"7"	5	"IPI:IPI00845263.1"	"FN1"	"fibronectin 1 isoform 2 preproprotein"
"8"	5	"IPI:IPI00339223.1"	"FN1"	"Isoform 3 of Fibronectin precursor"
"9"	5	"IPI:IPI00022418.1"	"FN1"	"Isoform 1 of Fibronectin precursor"
"10"	5	"IPI:IPI00855777.1"	"FN1"	"Isoform 14 of Fibronectin precursor"
"11"	5	"IPI:IPI00339228.1"	"FN1"	"Isoform 8 of Fibronectin precursor"
"12"	6	"IPI:IPI00298497.3"	"FGB"	"Fibrinogen beta chain precursor"
"13"	7	"IPI:IPI00029739.5"	"CFH"	"Isoform 1 of Complement factor H precursor"
"14"	8	"IPI:IPI00022488.1"	"HPX"	"Hemopexin precursor"
"15"	9	"IPI:IPI00032291.2"	"C5"	"Complement C5 precursor"
"16"	10	"IPI:IPI00294193.4"	"ITIH4"	"Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 precursor"
"17"	11	"IPI:IPI00304273.2"	"APOA4"	"Apolipoprotein A-IV precursor"
"18"	12	"IPI:IPI00019580.1"	"PLG"	"Plasminogen precursor"
"19"	13	"IPI:IPI00639937.1"	"CFB"	"B-factor, properdin"
"20"	13	"IPI:IPI00019591.1"	"CFB"	"Isoform 1 of Complement factor B precursor (Fragment)"
"21"	14	"IPI:IPI00555812.4"	"GC"	"Vitamin D-binding protein precursor"
"22"	15	"IPI:IPI00877792.1"	"FGG"	"50 kDa protein"
"23"	15	"IPI:IPI00877703.1"	"FGG"	"52 kDa protein"
"24"	15	"IPI:IPI00219713.1"	"FGG"	"Isoform Gamma-A of Fibrinogen gamma chain precursor"
"25"	15	"IPI:IPI00021891.5"	"FGG"	"Isoform Gamma-B of Fibrinogen gamma chain precursor"
"26"	16	"IPI:IPI00645038.1"	"ITIH2"	"Inter-alpha (Globulin) inhibitor H2"
"27"	16	"IPI:IPI00305461.2"	"ITIH2"	"Inter-alpha-trypsin inhibitor heavy chain H2 precursor"
"28"	17	"IPI:IPI00798430.1"	"TF"	"Transferrin variant (Fragment)"
"29"	17	"IPI:IPI00022463.1"	"TF"	"Serotransferrin precursor"
