N	Accession	Gene_Symbol	Protein_Name	Unused
1	IPI00418163.3	C4B	C4B1	138.10
2	IPI00414283.5	FN1	fibronectin 1 isoform 4 preproprotein	119.51
2	IPI00339223.1	FN1	Isoform 3 of Fibronectin precursor	0.00
2	IPI00022418.1	FN1	Isoform 1 of Fibronectin precursor	0.00
2	IPI00855777.1	FN1	Isoform 14 of Fibronectin precursor	0.00
2	IPI00339228.1	FN1	Isoform 8 of Fibronectin precursor	0.00
3	IPI00021885.1	FGA	Isoform 1 of Fibrinogen alpha chain precursor	110.64
3	IPI00029717.1	FGA	Isoform 2 of Fibrinogen alpha chain precursor	0.00
4	IPI00478003.1	A2M	Alpha-2-macroglobulin precursor	98.15
5	IPI00298497.3	FGB	Fibrinogen beta chain precursor	96.73
6	IPI00017601.1	CP	Ceruloplasmin precursor	91.35
7	IPI00032291.2	C5	Complement C5 precursor	74.56
8	IPI00029739.5	CFH	Isoform 1 of Complement factor H precursor	73.95
9	IPI00294193.4	ITIH4	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 precursor	67.52
10	IPI00877703.1	FGG	52 kDa protein	60.28
10	IPI00877792.1	FGG	50 kDa protein	0.00
10	IPI00219713.1	FGG	Isoform Gamma-A of Fibrinogen gamma chain precursor	0.00
10	IPI00021891.5	FGG	Isoform Gamma-B of Fibrinogen gamma chain precursor	0.00
11	IPI00022488.1	HPX	Hemopexin precursor	58.75
12	IPI00304273.2	APOA4	Apolipoprotein A-IV precursor	57.86
13	IPI00019580.1	PLG	Plasminogen precursor	57.80
14	IPI00847635.1	SERPINA3	Isoform 1 of Alpha-1-antichymotrypsin precursor	53.15
14	IPI00550991.3	SERPINA3	Alpha-1-antichymotrypsin precursor	0.00
15	IPI00639937.1	CFB	B-factor, properdin	49.69
15	IPI00019591.1	CFB	Isoform 1 of Complement factor B precursor (Fragment)	0.00
16	IPI00641737.1	HP	Haptoglobin precursor	48.17
17	IPI00645038.1	ITIH2	Inter-alpha (Globulin) inhibitor H2	47.54
17	IPI00305461.2	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2 precursor	0.00
18	IPI00215894.1	KNG1	Isoform LMW of Kininogen-1 precursor	46.83
18	IPI00797833.3	KNG1	Kininogen 1	0.00
19	IPI00026314.1	GSN	Isoform 1 of Gelsolin precursor	45.34
20	IPI00292530.1	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1 precursor	42.90
21	IPI00555812.4	GC	Vitamin D-binding protein precursor	42.43
21	IPI00742696.2	GC	vitamin D-binding protein precursor	0.00
22	IPI00019568.1	F2	Prothrombin precursor (Fragment)	40.35
23	IPI00828205.1	IGHM	IGHM protein	35.16
24	IPI00022395.1	C9	Complement component C9 precursor	34.70
25	IPI00032179.2	SERPINC1	Antithrombin III variant	33.48
26	IPI00296165.5	C1R;C17orf13;ACYP1	Complement C1r subcomponent precursor	33.02
27	IPI00291866.5	SERPING1	Plasma protease C1 inhibitor precursor	31.40
27	IPI00879931.1	SERPING1	cDNA FLJ78023, highly similar to Homo sapiens serine (or cysteine) proteinase inhibitor, clade G (C1inhibitor), member 1, (angioedema, hereditary) (SERPING1), mRNA	0.04
28	IPI00009920.2	C6	Complement component 6 precursor	31.14
29	IPI00745089.2	A1BG	alpha 1B-glycoprotein precursor	31.01
29	IPI00022895.7	A1BG	Alpha-1B-glycoprotein precursor	0.00
30	IPI00472610.2	IGHM	IGHM protein	29.71
30	IPI00784828.1	-	Putative uncharacterized protein DKFZp686C11235	0.00
31	IPI00798430.1	TF	Transferrin variant (Fragment)	28.49
31	IPI00022463.1	TF	Serotransferrin precursor	0.00
32	IPI00296608.6	C7	Complement component C7 precursor	26.79
33	IPI00019943.1	AFM	Afamin precursor	25.69
34	IPI00022431.1	AHSG	Alpha-2-HS-glycoprotein precursor	25.21
35	IPI00017696.1	C1S	Complement C1s subcomponent precursor	24.93
35	IPI00749179.2	C1S	Uncharacterized protein C1S	0.02
36	IPI00879231.1	SERPINF2	Alpha-2-antiplasmin precursor	24.92
36	IPI00029863.4	SERPINF2	SERPINF2 protein	0.00
37	IPI00022371.1	HRG	Histidine-rich glycoprotein precursor	24.90
38	IPI00294395.1	C8B	Complement component C8 beta chain precursor	24.53
39	IPI00292950.4	SERPIND1	Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1	23.95
39	IPI00879573.1	SERPIND1	Heparin cofactor 2 precursor	0.00
40	IPI00298971.1	VTN	Vitronectin precursor	23.86
41	IPI00020996.3	IGFALS	Insulin-like growth factor-binding protein complex acid labile chain precursor	22.70
42	IPI00021841.1	APOA1	Apolipoprotein A-I precursor	22.50
43	IPI00298828.3	APOH	Beta-2-glycoprotein 1 precursor	21.93
44	IPI00400826.1	CLU	clusterin isoform 1	21.84
44	IPI00291262.3	CLU	Clusterin precursor	0.00
44	IPI00795633.1	CLU	CLU	0.00
45	IPI00019581.1	F12	Coagulation factor XII precursor	21.54
46	IPI00876950.1	ITIH3	Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	21.13
46	IPI00028413.8	ITIH3	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	0.00
46	IPI00873416.1	ITIH3	Uncharacterized protein ITIH3	0.00
47	IPI00788786.1	VWF	309 kDa protein	19.79
47	IPI00023014.1	VWF	von Willebrand factor precursor	0.00
48	IPI00022391.1	APCS	Serum amyloid P-component precursor	19.70
49	IPI00032220.3	AGT	Angiotensinogen precursor	19.22
50	IPI00291867.3	CFI	Complement factor I precursor	18.98
50	IPI00872555.2	CFI	cDNA FLJ76262, highly similar to Homo sapiens I factor (complement) (IF), mRNA	0.00
51	IPI00430820.1	IGKV1-5	IGKV1-5 protein	18.75
52	IPI00553177.1	SERPINA1	Isoform 1 of Alpha-1-antitrypsin precursor	18.72
53	IPI00386879.1	IGHV3OR16-13;IGHA1	CDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA	18.12
53	IPI00430842.3	IGHV3OR16-13;IGHA1	IGHA1 protein	0.07
53	IPI00449920.1	IGHV3OR16-13;IGHA1	CDNA FLJ90170 fis, clone MAMMA1000370, highly similar to Ig alpha-1 chain C region	0.00
53	IPI00423460.3	IGHV3OR16-13;IGHA1	Putative uncharacterized protein DKFZp686G21220 (Fragment)	0.00
53	IPI00426060.3	IGHV3OR16-13;IGHA1	Putative uncharacterized protein DKFZp686J11235 (Fragment)	0.00
53	IPI00744561.1	IGHV3OR16-13;IGHA1	IGHA1 protein	0.00
53	IPI00719233.1	IGHV3OR16-13;IGHA1	IGHA1 protein	0.00
54	IPI00844536.2	RBP4	Uncharacterized protein RBP4	17.46
54	IPI00480192.1	RBP4	Retinol binding protein 4, plasma	0.00
54	IPI00022420.3	RBP4	Plasma retinol-binding protein precursor	0.00
55	IPI00550162.2	IGLV3-25	IGLV3-25 protein	17.40
56	IPI00654888.4	KLKB1	Plasma kallikrein precursor	17.24
57	IPI00303963.1	C2	Complement C2 precursor (Fragment)	17.21
57	IPI00643506.3	C2	Complement component 2	0.00
58	IPI00328609.3	SERPINA4	Kallistatin precursor	16.84
59	IPI00022426.1	AMBP	AMBP protein precursor	15.28
60	IPI00011261.2	C8G	Complement component C8 gamma chain precursor	15.27
61	IPI00006114.4	SERPINF1	Pigment epithelium-derived factor precursor	14.59
62	IPI00645849.1	ECM1	Extracellular matrix protein 1	14.32
62	IPI00003351.2	ECM1	Extracellular matrix protein 1 precursor	0.00
63	IPI00020986.2	LUM	Lumican precursor	14.31
64	IPI00011252.1	C8A	Complement component C8 alpha chain precursor	13.82
65	IPI00022429.3	ORM1	Alpha-1-acid glycoprotein 1 precursor	11.52
66	IPI00784998.1	-	Putative uncharacterized protein DKFZp686M24218	10.92
66	IPI00830132.1	IGHG4	Uncharacterized protein IGHG4 (Fragment)	0.00
66	IPI00550640.2	IGHG4	IGHG4 protein	0.00
66	IPI00829814.1	IGHG4	Ig gamma-4 chain C region	0.00
67	IPI00022417.4	LRG1	Leucine-rich alpha-2-glycoprotein precursor	10.48
68	IPI00292946.1	SERPINA7	Thyroxine-binding globulin precursor	10.00
69	IPI00218732.3	PON1	Serum paraoxonase/arylesterase 1	9.56
70	IPI00855916.1	-	Transthyretin	9.41
70	IPI00022432.1	TTR	Transthyretin precursor	0.00
71	IPI00394992.1	PGLYRP2	Isoform 2 of N-acetylmuramoyl-L-alanine amidase precursor	8.85
71	IPI00163207.1	PGLYRP2	Isoform 1 of N-acetylmuramoyl-L-alanine amidase precursor	0.00
72	IPI00220839.2	PRSS3	Protease, serine, 3	8.59
72	IPI00015614.3	PRSS3	Isoform A of Trypsin-3 precursor	0.00
72	IPI00385250.1	PRSS3	Protease serine 4 isoform B	0.00
72	IPI00843764.1	PRSS3	Isoform C of Trypsin-3 precursor	0.00
73	IPI00419744.4	FCN3	Isoform 2 of Ficolin-3 precursor	8.30
73	IPI00293925.2	FCN3	Isoform 1 of Ficolin-3 precursor	0.00
74	IPI00009028.1	CLEC3B	Tetranectin precursor	8.22
74	IPI00792115.1	CLEC3B	Putative uncharacterized protein DKFZp686H17246	0.00
75	IPI00167093.4	CFHR1	complement factor H-related 1	8.11
75	IPI00011264.1	CFHR1	Complement factor H-related protein 1 precursor	0.00
75	IPI00883722.1	CFHR1	FHR-1; complement Factor H-related protein 1	0.00
76	IPI00022394.2	C1QC	Complement C1q subcomponent subunit C precursor	8.00
77	IPI00026199.1	GPX3	Glutathione peroxidase 3 precursor	7.83
78	IPI00010295.1	CPN1	Carboxypeptidase N catalytic chain precursor	7.80
79	IPI00166729.4	AZGP1	alpha-2-glycoprotein 1, zinc	7.71
80	IPI00299503.2	GPLD1	Isoform 1 of Phosphatidylinositol-glycan-specific phospholipase D precursor	7.00
81	IPI00738433.1	CPN2	similar to Carboxypeptidase N subunit 2 precursor	6.98
